"","sim.num","sample.num","tru.rba","tru.ivb","meas.ivb"
"4660",1165,4,31.5613408272714,39.1473130151154,38.5540005596881
"4661",1166,1,37.5104805749002,45.9230986046699,43.0887371602139
"4662",1166,2,56.6984819805607,67.7773143286568,68.5486366802082
"4663",1166,3,18.6776558337116,24.4734121112889,26.8937389256498
"4664",1166,4,28.5106986853297,35.6727775459336,34.7125614189662
"4665",1167,1,10.713083402746,15.4021451056333,16.5086442376937
"4666",1167,2,29.5811434592325,36.8919629376224,35.4899611009899
"4667",1167,3,16.8288641537888,22.3677268266388,24.1171156472763
"4668",1167,4,20.4170105090096,26.4544538826989,23.9100716066674
"4669",1168,1,39.6068559665664,48.3107698935836,46.926428187356
"4670",1168,2,26.1225852052674,32.9528305299173,34.2990819284885
"4671",1168,3,20.5873735402556,26.6484892258036,27.4498967388887
"4672",1168,4,6.27770685418935,10.3504633874594,9.79812296667775
"4673",1169,1,42.0843393027421,51.1325049006175,50.2126681821298
"4674",1169,2,30.5668299254568,38.0146126713631,39.5776247022364
"4675",1169,3,35.150903925654,43.2356536738656,39.1851548364246
"4676",1169,4,25.4076522879529,32.1385561366206,29.4650331649089
"4677",1170,1,39.3683183621501,48.0390869728361,46.48886053718
"4678",1170,2,22.6859993305761,29.0387236111345,27.0135219410625
"4679",1170,3,9.29124961155019,13.7827444322895,16.0062422974053
"4680",1170,4,16.1228356028384,21.5635940806816,21.8887909402201
"4681",1171,1,14.5223566839473,19.7407251525596,17.1873447965397
"4682",1171,2,21.7438118075388,27.9656170928688,27.0379907353468
"4683",1171,3,24.4647770815581,31.0646663799067,33.631283523743
"4684",1171,4,18.2695939240151,24.0086491161904,23.2395857122025
"4685",1172,1,20.5876799631607,26.6488382268345,24.2263708102366
"4686",1172,2,22.3847083856229,28.6955676373837,25.854814230716
"4687",1172,3,20.7577911277573,26.8425867058739,27.8906407174247
"4688",1172,4,25.6900781650922,32.4602257005606,29.780890719828
"4689",1173,1,26.8170333046353,33.7437736954844,38.0258341196247
"4690",1173,2,12.8472644848528,17.8328752674861,17.0043769464716
"4691",1173,3,48.4698900093686,58.4053416963196,56.5946461986595
"4692",1173,4,28.1020501627422,35.2073464268135,34.8366626247697
"4693",1174,1,16.3745087905107,21.850237802404,19.7300068371759
"4694",1174,2,30.0244425314086,37.3968593751806,35.9793105101184
"4695",1174,3,30.4748513339292,37.9098534555002,37.0102331724184
"4696",1174,4,25.1645235297961,31.8616441113851,33.0001285149561
"4697",1175,1,17.0395647857806,22.6077047674039,26.1072388833155
"4698",1175,2,47.1055297176333,56.8514005895596,58.0471109318047
"4699",1175,3,28.5243312319372,35.6883043643932,36.0957062503256
"4700",1175,4,28.2173217885358,35.3386352944599,33.5900813620859
"4701",1176,1,28.7674394638939,35.9651930112687,35.7920583967786
"4702",1176,2,13.8333288225347,18.9559553787411,21.9177227021191
"4703",1176,3,39.7997672304104,48.5304865950004,49.1148905930243
"4704",1176,4,35.2801276156522,43.3828332752303,40.4432751015707
"4705",1177,1,36.4451068212486,44.70968886247,44.3002370542525
"4706",1177,2,32.5241079528281,40.2438587162052,42.8923331941344
"4707",1177,3,27.7611458791986,34.8190727553514,33.6778691876622
"4708",1177,4,47.017390786612,56.7510145633394,56.9158864438434
"4709",1178,1,28.1341461811933,35.2439022564844,33.4861417164049
"4710",1178,2,19.6730602325567,25.6071301054177,26.1514565923022
"4711",1178,3,19.8234404724379,25.7784060050545,25.4386998183395
"4712",1178,4,26.8293560203293,33.7578086791906,34.7998846057567
"4713",1179,1,44.9225529062407,54.3650944262422,51.8462104173953
"4714",1179,2,38.3154085730087,46.8398730899872,48.6181683730774
"4715",1179,3,18.2356689816625,23.9700102296839,22.4115681289022
"4716",1179,4,26.3555291642752,33.2181425561221,33.7338576012013
"4717",1180,1,22.964509119764,29.3559329382278,29.1636445583003
"4718",1180,2,31.6414442727047,39.2385470076363,40.4783310085033
"4719",1180,3,35.5280698321178,43.665227599223,43.7007026507367
"4720",1180,4,1.51373741176597,4.92453008173801,4.70665745529945
